x,y
3.950663446807405887e-01,2.442159383033418868e-02
3.996987873594557428e-01,2.442159383033418868e-02
4.043312300381708968e-01,2.442159383033418868e-02
4.089636727168861063e-01,2.442159383033418868e-02
4.135961153956012604e-01,2.442159383033418868e-02
4.182285580743164144e-01,2.442159383033418868e-02
4.228610007530316239e-01,2.442159383033418868e-02
4.274934434317467780e-01,2.442159383033418868e-02
4.321258861104619875e-01,2.442159383033418868e-02
4.367583287891771415e-01,2.442159383033418868e-02
4.413907714678922956e-01,2.442159383033418868e-02
4.460232141466075051e-01,2.442159383033418868e-02
4.506556568253226591e-01,2.442159383033418868e-02
4.552880995040378131e-01,2.442159383033418868e-02
4.599205421827529672e-01,2.442159383033418868e-02
4.645529848614681767e-01,2.442159383033418868e-02
4.691854275401833307e-01,2.442159383033418868e-02
4.738178702188985403e-01,2.442159383033418868e-02
4.784503128976136943e-01,2.442159383033418868e-02
4.830827555763289038e-01,2.442159383033418868e-02
4.877151982550440579e-01,2.442159383033418868e-02
4.923476409337591564e-01,2.442159383033418868e-02
4.969800836124743659e-01,2.442159383033418868e-02
5.016125262911894644e-01,2.442159383033418868e-02
5.062449689699047850e-01,2.442159383033418868e-02
5.108774116486198835e-01,2.442159383033418868e-02
5.155098543273350931e-01,2.442159383033418868e-02
5.201422970060501916e-01,2.442159383033418868e-02
5.247747396847655121e-01,2.442159383033418868e-02
5.294071823634806107e-01,2.442159383033418868e-02
5.340396250421957092e-01,2.442159383033418868e-02
5.386720677209109187e-01,2.442159383033418868e-02
5.433045103996260172e-01,2.442159383033418868e-02
5.479369530783413378e-01,2.442159383033418868e-02
5.525693957570564363e-01,2.442159383033418868e-02
5.572018384357716458e-01,2.442159383033418868e-02
5.618342811144867444e-01,2.442159383033418868e-02
5.664667237932020649e-01,2.442159383033418868e-02
5.710991664719171634e-01,2.442159383033418868e-02
5.757316091506322620e-01,2.442159383033418868e-02
5.803640518293474715e-01,2.442159383033418868e-02
5.849964945080625700e-01,2.442159383033418868e-02
5.896289371867778906e-01,2.442159383033418868e-02
5.942613798654929891e-01,2.442159383033418868e-02
5.988938225442081986e-01,2.442159383033418868e-02
6.035262652229232971e-01,2.442159383033418868e-02
6.081587079016386177e-01,2.442159383033418868e-02
6.127911505803537162e-01,2.442159383033418868e-02
6.174235932590688147e-01,2.442159383033418868e-02
6.220560359377840243e-01,2.442159383033418868e-02
6.266884786164992338e-01,2.442159383033418868e-02
6.313209212952144433e-01,2.442159383033418868e-02
6.359533639739295419e-01,2.442159383033418868e-02
6.405858066526447514e-01,2.442159383033418868e-02
6.452182493313598499e-01,2.442159383033418868e-02
6.498506920100751705e-01,2.442159383033418868e-02
6.544831346887902690e-01,2.442159383033418868e-02
6.591155773675053675e-01,2.442159383033418868e-02
6.637480200462205771e-01,2.442159383033418868e-02
6.683804627249357866e-01,2.442159383033418868e-02
6.683804627249357866e-01,4.498714652956297549e-02
6.940874035989716972e-01,4.498714652956297549e-02
6.940874035989716972e-01,2.442159383033418868e-02
6.940874035989716972e-01,2.442159383033418868e-02
6.963205317961101981e-01,2.442159383033418868e-02
6.985536599932486990e-01,2.442159383033418868e-02
7.007867881903870888e-01,2.442159383033418868e-02
7.030199163875255897e-01,2.442159383033418868e-02
7.052530445846642015e-01,2.442159383033418868e-02
7.074861727818027024e-01,2.442159383033418868e-02
7.097193009789410922e-01,2.442159383033418868e-02
7.119524291760795931e-01,2.442159383033418868e-02
7.141855573732180940e-01,2.442159383033418868e-02
7.164186855703564838e-01,2.442159383033418868e-02
7.186518137674949847e-01,2.442159383033418868e-02
7.208849419646334855e-01,2.442159383033418868e-02
7.231180701617719864e-01,2.442159383033418868e-02
7.253511983589104872e-01,2.442159383033418868e-02
7.275843265560489881e-01,2.442159383033418868e-02
7.298174547531873779e-01,2.442159383033418868e-02
7.320505829503258788e-01,2.442159383033418868e-02
7.342837111474643796e-01,2.442159383033418868e-02
7.365168393446027695e-01,2.442159383033418868e-02
7.387499675417412703e-01,2.442159383033418868e-02
7.409830957388798822e-01,2.442159383033418868e-02
7.432162239360183831e-01,2.442159383033418868e-02
7.454493521331567729e-01,2.442159383033418868e-02
7.476824803302952738e-01,2.442159383033418868e-02
7.499156085274337746e-01,2.442159383033418868e-02
7.521487367245721645e-01,2.442159383033418868e-02
7.543818649217106653e-01,2.442159383033418868e-02
7.566149931188491662e-01,2.442159383033418868e-02
7.588481213159875560e-01,2.442159383033418868e-02
7.610812495131261679e-01,2.442159383033418868e-02
7.633143777102646688e-01,2.442159383033418868e-02
7.655475059074030586e-01,2.442159383033418868e-02
7.677806341045415595e-01,2.442159383033418868e-02
7.700137623016800603e-01,2.442159383033418868e-02
7.722468904988184502e-01,2.442159383033418868e-02
7.744800186959569510e-01,2.442159383033418868e-02
7.767131468930955629e-01,2.442159383033418868e-02
7.789462750902340638e-01,2.442159383033418868e-02
7.811794032873724536e-01,2.442159383033418868e-02
7.834125314845109544e-01,2.442159383033418868e-02
7.856456596816494553e-01,2.442159383033418868e-02
7.878787878787878451e-01,2.442159383033418868e-02
7.901119160759263460e-01,2.442159383033418868e-02
7.923450442730648469e-01,2.442159383033418868e-02
7.945781724702032367e-01,2.442159383033418868e-02
7.968113006673418486e-01,2.442159383033418868e-02
7.990444288644803494e-01,2.442159383033418868e-02
8.012775570616187393e-01,2.442159383033418868e-02
8.035106852587572401e-01,2.442159383033418868e-02
8.057438134558957410e-01,2.442159383033418868e-02
8.079769416530341308e-01,2.442159383033418868e-02
8.102100698501726317e-01,2.442159383033418868e-02
8.124431980473111325e-01,2.442159383033418868e-02
8.146763262444495224e-01,2.442159383033418868e-02
8.169094544415881343e-01,2.442159383033418868e-02
8.191425826387266351e-01,2.442159383033418868e-02
8.213757108358651360e-01,2.442159383033418868e-02
8.236088390330035258e-01,2.442159383033418868e-02
8.258419672301420267e-01,2.442159383033418868e-02
8.280750954272805275e-01,2.442159383033418868e-02
8.303082236244189174e-01,2.442159383033418868e-02
8.325413518215575293e-01,2.442159383033418868e-02
8.347744800186960301e-01,2.442159383033418868e-02
8.370076082158344200e-01,2.442159383033418868e-02
8.392407364129729208e-01,2.442159383033418868e-02
8.414738646101114217e-01,2.442159383033418868e-02
8.437069928072498115e-01,2.442159383033418868e-02
8.459401210043883124e-01,2.442159383033418868e-02
8.481732492015268132e-01,2.442159383033418868e-02
8.504063773986652031e-01,2.442159383033418868e-02
8.526395055958038149e-01,2.442159383033418868e-02
8.548726337929423158e-01,2.442159383033418868e-02
8.571057619900808167e-01,2.442159383033418868e-02
8.593388901872192065e-01,2.442159383033418868e-02
8.615720183843577074e-01,2.442159383033418868e-02
8.638051465814962082e-01,2.442159383033418868e-02
8.660382747786345981e-01,2.442159383033418868e-02
8.682714029757732099e-01,2.442159383033418868e-02
8.705045311729115998e-01,2.442159383033418868e-02
8.727376593700501006e-01,2.442159383033418868e-02
8.749707875671886015e-01,2.442159383033418868e-02
8.772039157643271023e-01,2.442159383033418868e-02
8.794370439614654922e-01,2.442159383033418868e-02
8.816701721586039930e-01,2.442159383033418868e-02
8.839033003557424939e-01,2.442159383033418868e-02
8.861364285528808837e-01,2.442159383033418868e-02
8.883695567500194956e-01,2.442159383033418868e-02
8.906026849471579965e-01,2.442159383033418868e-02
8.928358131442964973e-01,2.442159383033418868e-02
8.950689413414348872e-01,2.442159383033418868e-02
8.973020695385733880e-01,2.442159383033418868e-02
8.995351977357118889e-01,2.442159383033418868e-02
9.017683259328502787e-01,2.442159383033418868e-02
9.040014541299888906e-01,2.442159383033418868e-02
9.062345823271272804e-01,2.442159383033418868e-02
9.084677105242657813e-01,2.442159383033418868e-02
9.107008387214042822e-01,2.442159383033418868e-02
9.129339669185427830e-01,2.442159383033418868e-02
9.151670951156811729e-01,2.442159383033418868e-02
9.151670951156811729e-01,2.442159383033418868e-02
9.154287057372049174e-01,2.547085672315198279e-02
9.156903163587286620e-01,2.652011961596978037e-02
9.159519269802524066e-01,2.756938250878757796e-02
9.162135376017761512e-01,2.861864540160537207e-02
9.164751482232997848e-01,2.966790829442316618e-02
9.167367588448235294e-01,3.071717118724096376e-02
9.169983694663471629e-01,3.176643408005876135e-02
9.172599800878710186e-01,3.281569697287655546e-02
9.175215907093947632e-01,3.386495986569434957e-02
9.177832013309183967e-01,3.491422275851215062e-02
9.180448119524421413e-01,3.596348565132994474e-02
9.183064225739657749e-01,3.701274854414773885e-02
9.185680331954896305e-01,3.806201143696553296e-02
9.188296438170132641e-01,3.911127432978332708e-02
9.190912544385370087e-01,4.016053722260112813e-02
9.193528650600607532e-01,4.120980011541891530e-02
9.196144756815843868e-01,4.225906300823670941e-02
9.198760863031082424e-01,4.330832590105451047e-02
9.201376969246318760e-01,4.435758879387230458e-02
9.203993075461556206e-01,4.540685168669009869e-02
9.206609181676792542e-01,4.645611457950789280e-02
9.209225287892029987e-01,4.750537747232568692e-02
9.211841394107268544e-01,4.855464036514348797e-02
9.214457500322504879e-01,4.960390325796128208e-02
9.217073606537742325e-01,5.065316615077907619e-02
9.219689712752978661e-01,5.170242904359687725e-02
9.222305818968217217e-01,5.275169193641467136e-02
9.224921925183453553e-01,5.380095482923246547e-02
9.227538031398690999e-01,5.485021772205025958e-02
9.230154137613928444e-01,5.589948061486805370e-02
9.232770243829164780e-01,5.694874350768585475e-02
9.235386350044403336e-01,5.799800640050364886e-02
9.238002456259639672e-01,5.904726929332144297e-02
9.240618562474877118e-01,6.009653218613923709e-02
9.243234668690113454e-01,6.114579507895703814e-02
9.245850774905350900e-01,6.219505797177483225e-02
9.248466881120589456e-01,6.324432086459262636e-02
9.251082987335825791e-01,6.429358375741042742e-02
9.253699093551063237e-01,6.534284665022821459e-02
9.256315199766299573e-01,6.639210954304601564e-02
9.258931305981537019e-01,6.744137243586380281e-02
9.261547412196774465e-01,6.849063532868160387e-02
9.264163518412011911e-01,6.953989822149940492e-02
9.266779624627249357e-01,7.058916111431719209e-02
9.269395730842485692e-01,7.163842400713499314e-02
9.272011837057723138e-01,7.268768689995278032e-02
9.274627943272960584e-01,7.373694979277059525e-02
9.277244049488198030e-01,7.478621268558836854e-02
9.279860155703434366e-01,7.583547557840618347e-02
9.279860155703434366e-01,7.583547557840618347e-02
9.297589080444148557e-01,7.583547557840618347e-02
9.315318005184863859e-01,7.583547557840618347e-02
9.333046929925578050e-01,7.583547557840618347e-02
9.350775854666293352e-01,7.583547557840618347e-02
9.368504779407006433e-01,7.583547557840618347e-02
9.386233704147721735e-01,7.583547557840618347e-02
9.403962628888435926e-01,7.583547557840618347e-02
9.421691553629151228e-01,7.583547557840618347e-02
9.439420478369864309e-01,7.583547557840618347e-02
9.457149403110579611e-01,7.583547557840618347e-02
9.474878327851293802e-01,7.583547557840618347e-02
9.492607252592009104e-01,7.583547557840618347e-02
9.510336177332723295e-01,7.583547557840618347e-02
9.528065102073437487e-01,7.583547557840618347e-02
9.545794026814151678e-01,7.583547557840618347e-02
9.563522951554866980e-01,7.583547557840618347e-02
9.581251876295581171e-01,7.583547557840618347e-02
9.598980801036296473e-01,7.583547557840618347e-02
9.616709725777009554e-01,7.583547557840618347e-02
9.634438650517724856e-01,7.583547557840618347e-02
9.652167575258439047e-01,7.583547557840618347e-02
9.669896499999154349e-01,7.583547557840618347e-02
9.687625424739867430e-01,7.583547557840618347e-02
9.705354349480582732e-01,7.583547557840618347e-02
9.723083274221296923e-01,7.583547557840618347e-02
9.740812198962012225e-01,7.583547557840618347e-02
9.758541123702726416e-01,7.583547557840618347e-02
9.776270048443439498e-01,7.583547557840618347e-02
9.793998973184154799e-01,7.583547557840618347e-02
9.793998973184154799e-01,7.583547557840618347e-02
9.796629181433006428e-01,7.478621268558838242e-02
9.799259389681858057e-01,7.373694979277059525e-02
9.801889597930710796e-01,7.268768689995279420e-02
9.804519806179562424e-01,7.163842400713500702e-02
9.807150014428414053e-01,7.058916111431719209e-02
9.809780222677265682e-01,6.953989822149940492e-02
9.812410430926118421e-01,6.849063532868160387e-02
9.815040639174968939e-01,6.744137243586381669e-02
9.817670847423820568e-01,6.639210954304601564e-02
9.820301055672672197e-01,6.534284665022822847e-02
9.822931263921523826e-01,6.429358375741042742e-02
9.825561472170376565e-01,6.324432086459262636e-02
9.828191680419228193e-01,6.219505797177483919e-02
9.830821888668079822e-01,6.114579507895703814e-02
9.833452096916931451e-01,6.009653218613924403e-02
9.836082305165784190e-01,5.904726929332144991e-02
9.838712513414634708e-01,5.799800640050365580e-02
9.841342721663486337e-01,5.694874350768586169e-02
9.843972929912337966e-01,5.589948061486806064e-02
9.846603138161189595e-01,5.485021772205026652e-02
9.849233346410042333e-01,5.380095482923247241e-02
9.851863554658893962e-01,5.275169193641467136e-02
9.854493762907745591e-01,5.170242904359687725e-02
9.857123971156597220e-01,5.065316615077908313e-02
9.859754179405449959e-01,4.960390325796128902e-02
9.862384387654301587e-01,4.855464036514349491e-02
9.865014595903152106e-01,4.750537747232569386e-02
9.867644804152003735e-01,4.645611457950789974e-02
9.870275012400856474e-01,4.540685168669010563e-02
9.872905220649708102e-01,4.435758879387230458e-02
9.875535428898559731e-01,4.330832590105451047e-02
9.878165637147411360e-01,4.225906300823671635e-02
